category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Supportive,Weekly congratulations,,,Congratulations! You have made it through your first week. How time flies! ,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,ccb6ec69-c4a1-4c03-889a-915f17545156
Supportive,Weekly congratulations,,,Congratulations! You have made it through another week!,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,9b3c440d-6a18-4e7c-b829-f9986a71f840
Supportive,Weekly congratulations,,,"Congratulations for finishing the ParentText programme! 

You can always revisit the parenting tips by typing ""Help"". If you want to stop receiving messages, go to ""Technical Support"" and then select ""User Experience"".",,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,1aeaf806-fcdc-457f-97bf-9eadd0b69a30
Supportive,Weekly congratulations,,,You have added one skill to your Parenting Toolkit this week:,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,c7e09ceb-2045-48de-ba86-fa00dee2f0af
Supportive,Weekly congratulations,,,You have added @results.n_skills_week skills to your Parenting Toolkit this week:,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,253f26d5-a94e-4001-89a5-8131f995cf82
Supportive,Weekly congratulations,,,You also have made progress on the following skills: ,,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,d12e6a82-c836-45b8-9013-27e9ee7b85e6
Supportive,Weekly congratulations,,,"Type ""Toolkit"" if you want to go back and revisit any of these tips.",,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,0c91b4e9-fded-4dc3-8027-02cbdfd76cf2
Supportive,Weekly congratulations,,,"If you have already noticed some changes in your life or relationship with your children, that's great! 

If you have not noticed any changes, please keep it up. Sometimes these things take time to change.  We know you can do it!",,,,,,,,,,,PLH - Supportive - Weekly congratulations,a345014a-5e36-403f-be0d-15045dc460e4,1208485c-d747-4ce3-8b3f-4d8122f0c194
