category,subcategory,name,specification,text message,option 1,option 2,option 3,option 4,option 5,option 6,option 7,option 8,option 9,option 10,name of flow,flow id,node id
Internal,Single hook message,,,Hi! We hope you are finding these messages useful. Please type “MoreTips” when you want to receive your next message.,,,,,,,,,,,PLH - Internal - Single hook message,5496e580-d153-4f31-972f-56c838b2ae2f,6e890424-b35f-4c95-bdfd-edac729b68a7
Internal,Multiple hook messages,,,Hi! In the current times everyone is feeling a little stressed and a brief relaxation activity might help. Would you like to receive one?,Yes,No,,,,,,,,,PLH - Internal - Multiple hook messages,5f6f077f-351a-4d1f-bce2-1bbefbfff6d6,68123e14-8e1b-4604-89d9-f25dd49f72d9
Internal,Multiple hook messages,,,Hi! We hope you and your child are finding these chats helpful! Please type “MoreTips” whenever you want to receive your next message.,,,,,,,,,,,PLH - Internal - Multiple hook messages,5f6f077f-351a-4d1f-bce2-1bbefbfff6d6,7b52aa4d-b5d4-4cc5-8060-e8c67ffac3a4
Internal,Multiple hook messages,,,"Hi! We have a great idea for a fun activity for you and your child, do you want to hear it?",Yes,No,,,,,,,,,PLH - Internal - Multiple hook messages,5f6f077f-351a-4d1f-bce2-1bbefbfff6d6,3e94916f-da4c-4e0a-ab8d-72df4cffb044
Internal,Multiple hook messages,,,Hi! We have noticed that you have not been responding to our chats today and we have been missing you! Please type “MoreTips” whenever you want to receive your next message.,,,,,,,,,,,PLH - Internal - Multiple hook messages,5f6f077f-351a-4d1f-bce2-1bbefbfff6d6,60800195-7098-423e-8ba8-e71a59bc96ec
Internal,Multiple hook messages,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Internal - Multiple hook messages,5f6f077f-351a-4d1f-bce2-1bbefbfff6d6,becc0af8-959d-476f-b5a3-69767f426e14
Internal,Multiple hook messages,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,PLH - Internal - Multiple hook messages,5f6f077f-351a-4d1f-bce2-1bbefbfff6d6,e5df05ab-82d6-43ad-81dc-4f4c60a0a2ea
Internal,Multiple hook messages,,,"That's okay! You can always get suggestions for activities to do by typing ""Help"". Chat later!",,,,,,,,,,,PLH - Internal - Multiple hook messages,5f6f077f-351a-4d1f-bce2-1bbefbfff6d6,c8c59715-391a-4c53-9e01-7c5ea2b53c0b
